"Source:","/home/txino/Zynthian/zynthian-hw/Zynface_V5/Zynface_V5.kicad_sch"
"Date:","dom 14 may 2023 18:12:20"
"Tool:","Eeschema 6.0.11+dfsg-1~bpo11+1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","22"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C4","100n","Zynface_V5-rescue:C-device","Capacitor_SMD:C_0805_2012Metric",""
"","","CV-IN1","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","CV-IN2","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","CV-IN3","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","CV-IN4","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","CV-OUT1","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","CV-OUT2","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","CV-OUT3","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","CV-OUT4","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","EXT-1","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_JST:JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal","~"
"","","Gate-IN1","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","Gate-IN2","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","Gate-IN3","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","Gate-IN4","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","Gate-OUT1","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","Gate-OUT2","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","Gate-OUT3","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","Gate-OUT4","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"","","J1","Conn_01x08","Connector_Generic:Conn_01x08","","~"
"","","MCP23017","MCP23017","Zynface_V5-rescue:MCP23017-microchip","Package_DIP:DIP-28_W7.62mm",""
"","","MOD-1","ADS1115","Zynface_V5-rescue:CONN_01X10-conn","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"","","MOD-2","MCP4728","Zynface_V5-rescue:CONN_01X10-conn","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C4","100n","Zynface_V5-rescue:C-device","Capacitor_SMD:C_0805_2012Metric",""
"2","16","CV-IN1, CV-IN2, CV-IN3, CV-IN4, CV-OUT1, CV-OUT2, CV-OUT3, CV-OUT4, Gate-IN1, Gate-IN2, Gate-IN3, Gate-IN4, Gate-OUT1, Gate-OUT2, Gate-OUT3, Gate-OUT4","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"3","1","EXT-1","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_JST:JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal","~"
"4","1","J1","Conn_01x08","Connector_Generic:Conn_01x08","","~"
"5","1","MCP23017","MCP23017","Zynface_V5-rescue:MCP23017-microchip","Package_DIP:DIP-28_W7.62mm",""
"6","1","MOD-1","ADS1115","Zynface_V5-rescue:CONN_01X10-conn","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"7","1","MOD-2","MCP4728","Zynface_V5-rescue:CONN_01X10-conn","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
