Ref. PCB,Ref. Manufacturer,Description,Quantity,Price 1000,Subtotal,URL
U1,PCM1863DBTR,"ADC, 30-TSSOP",1,"1,984","1,984",https://www.digikey.es/product-detail/es/texas-instruments/PCM1863DBTR/296-47817-1-ND/8133166
U2,AT24C32E-STUM-T,"EEPROM, SOT-23-5 ",1,"0,2","0,2",https://www.digikey.es/product-detail/es/microchip-technology/AT24C32E-STUM-T/AT24C32E-STUM-TCT-ND/5056425
"U3,U4,U5",NCP163ASN330T1G,"LDO 3.3v Ultra Low Noise, SOT-23-5 ",3,"0,12","0,36",https://www.digikey.es/product-detail/es/on-semiconductor/NCP163ASN330T1G/NCP163ASN330T1GOSTR-ND/9694661
U6,PCM5242RHBR,"DAC, 32-VQFN",1,"3,071","3,071",https://www.digikey.es/product-detail/es/texas-instruments/PCM5242RHBR/296-48945-1-ND/8635008
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C13,C17",CL21A106KOQNNNE,10µF ±10% 16V Ceramic Capacitor X5R 0805 (2012),11,"0,022","0,242",https://www.digikey.es/product-detail/es/samsung-electro-mechanics/CL21A106KOQNNNE/1276-1096-1-ND/3889182
"C14,C22,C24,C26,C33,C34,C35",CL10A105KA8NNNC,1µF ±10% 25V Ceramic Capacitor X5R 0603 (1608),7,"0,00742","0,05194",https://www.digikey.es/product-detail/es/samsung-electro-mechanics/CL10A105KA8NNNC/1276-1102-1-ND/3889188
"C12,C15,C18,C19,C21,C23,C28,C30,C31",CL05A104KA5NNNC,0.1µF ±10% 25V Ceramic Capacitor X5R 0402 (1005),9,"0,0022","0,0198",https://www.digikey.es/product-detail/es/samsung-electro-mechanics/CL05A104KA5NNNC/1276-1043-1-ND/3889129
"C10,C11,C16,C20",CC0402KRX7R9BB222,2200pF ±10% 50V Ceramic Capacitor X7R 0402 (1005),4,"0,004","0,016",https://www.digikey.es/product-detail/es/yageo/CC0402KRX7R9BB222/311-1037-1-ND/302954
X1,SIT8008BC-21-33E-22.579200E,"XO Oscillator 22.5792Mhz Low Power, 4-SMD",1,"0,64","0,64",https://www.digikey.es/product-detail/es/sitime/SIT8008BC-21-33E-22-579200E/1473-SIT8008BC-21-33E-22-579200E-ND/11391398
X2,SIT1602BI-21-33E-24.576000D,"XO Oscillator 24.576Mhz Low Power, 4-SMD",1,"0,64","0,64",https://www.digikey.es/product-detail/es/sitime/SIT1602BI-21-33E-24-576000D/1473-SIT1602BI-21-33E-24-576000D-ND/11385497
"D1,D2",MP-2016-1100-27-80,LED Low Power 0806 (2016) ,2,"0,022","0,044",https://www.digikey.es/product-detail/es/luminus-devices-inc/MP-2016-1100-27-80/1214-1210-1-ND/4807645
"R8,R10,R11,R13",CR0402-FX-1003GLF,100K ±1% 1/16W Resistor 0402 (1005),4,"0,001","0,004",https://www.digikey.es/product-detail/es/bourns-inc/CR0402-FX-1003GLF/CR0402-FX-1003GLFCT-ND/3740841
"R23,R24,R1,R2,R20",RMCF0402JT10K0,10K ±5% 1/16W Resistor 0402 (1005),5,"0,0014","0,007",https://www.digikey.es/product-detail/es/stackpole-electronics-inc/RMCF0402JT10K0/RMCF0402JT10K0CT-ND/1942936
"R5,R6",RMCF0402JT3K90,3K9 ±5% 1/16W Resistor 0402 (1005),2,"0,0011","0,0022",https://www.digikey.es/product-detail/es/stackpole-electronics-inc/RMCF0402JT3K90/RMCF0402JT3K90CT-ND/2417878
"R15,R16,R17,R18",RMCF0402FT470R,470 Ohm 1% 1/16W Resistor 0402 (1005),4,"0,0015","0,006",https://www.digikey.es/product-detail/es/stackpole-electronics-inc/RMCF0402FT470R/738-RMCF0402FT470RCT-ND/4425016
"R4,R9,R12,R14,R3,R21,R22,R25,R27,R19",RMCF0603FT100R,100 Ohm 1% 1/10W Resistor 0603 (1608),11,"0,002","0,022",https://www.digikey.es/product-detail/es/stackpole-electronics-inc/RMCF0603FT100R/RMCF0603FT100RCT-ND/1942965
J1,,"PinHeader 2x20 pin, 2.54mm (Male)",,,,
J6,,"PinSocket 2x20 pin, 2.54mm (Female)",,,,
J2,,"PinHeader 2x10 pin, 2.54mm (Male)",,,,
"J9,J3,J4,J5",NOT MOUNT!,,,,,
,,,,,,
,,,,TOTAL:,"7,30994",
